StartDate,EndDate,ISRC,UPC,CountryCode,Country,StoreName,ArtistName,ReleaseTitle,TrackTitle,Label,UnitPrice,Units,Earnings,DateImported
2018-12-02,2018-12-29,GB5HY1100281,5055506320201,US,United States of America,iTunes Match,Mario Basanov feat. Miss Bee,Just think about,Just Think About,Under the shade,0.000452727,3,0.001358181,2019-03-11
2018-12-02,2018-12-29,GB5HY1100232,5055400867437,US,United States of America,iTunes Match,Rampi featuring Miss Bee,Feel it burn,Feel it burn,Under the shade,0.000452727,4,0.001810908,2019-03-11
2018-12-02,2018-12-29,GB5HY1100284,5055506320201,AU,Australia,iTunes Match,Mario Basanov feat. Miss Bee,Just think about,Just Think About,Under the shade,0.000193221,12,0.002318652,2019-03-11
2018-12-02,2018-12-29,GBLFP1234622,5055610744122,BE,Belgium,iTunes Match,Bonar Bradberry,Loose Grip,Loose Grip,Under the shade,0.000709218,1,0.000709218,2019-03-11
2018-12-02,2018-12-29,GB5HY1100233,5055400867437,NL,Netherlands,iTunes Match,Rampi featuring Miss Bee,Feel it burn,Feel it burn,Under the shade,0.000828214,1,0.000828214,2019-03-11
2018-12-29,2019-01-31,GBLFP1234622,5055610744122,AE,United Arab Emirates,Apple Music,Bonar Bradberry,Loose Grip,Loose Grip,Under the shade,0.007161246,1,0.007161246,2019-03-30
2018-12-29,2019-01-31,GBLFP1234622,5055610744122,EG,Egypt,Apple Music,Bonar Bradberry,Loose Grip,Loose Grip,Under the shade,0.005525339,1,0.005525339,2019-03-30
2018-12-29,2019-01-31,GBLFP1234622,5055610744122,SA,Saudi Arabia,Apple Music,Bonar Bradberry,Loose Grip,Loose Grip,Under the shade,0.008492958,1,0.008492958,2019-03-31
2018-12-30,2019-02-02,GBLFP1173343,5055506305925,FR,France,iTunes Match,Pink Stallone,Mine (feat. Joey Washington),"Mine (Original 12"" mix)",Under the shade,0.000298228,1,0.000298228,2019-03-26
2018-12-30,2019-02-02,GB5HY1100232,5055400867437,BE,Belgium,iTunes Match,Rampi featuring Miss Bee,Feel it burn,Feel it burn,Under the shade,0.000635665,1,0.000635665,2019-03-26
2018-12-30,2019-02-02,GBLFP1234622,5055610744122,US,United States of America,iTunes Match,Bonar Bradberry,Loose Grip,Loose Grip,Under the shade,0.000417128,1,0.000417128,2019-03-27
2018-12-02,2018-12-29,GBLFP1234622,5055610744122,BR,Brazil,iTunes Match,Bonar Bradberry,Loose Grip,Loose Grip,Under the shade,0.00036201,1,0.00036201,2019-02-28
2018-12-02,2018-12-29,GB5HY1100232,5055400867437,DE,Germany,iTunes Match,Rampi featuring Miss Bee,Feel it burn,Feel it burn,Under the shade,0.000649838,1,0.000649838,2019-03-11
2018-12-02,2018-12-29,GB5HY1100283,5055506320201,NL,Netherlands,iTunes Match,Mario Basanov feat. Miss Bee,Just think about,Just Think About,Under the shade,0.000828214,2,0.001656428,2019-03-11
2018-12-02,2018-12-29,GBLFP1234620,5055610744122,BE,Belgium,iTunes Match,Bonar Bradberry,Loose Grip,Guess Who,Under the shade,0.000709218,2,0.001418436,2019-03-11
2018-12-02,2018-12-29,GB5HY1100282,5055506320201,DE,Germany,iTunes Match,Mario Basanov feat. Miss Bee,Just think about,Just Think About,Under the shade,0.000649838,4,0.002599352,2019-03-11
